configuration,result_type,model,lightgbm_weight,xgboost_weight,oof_auc,log_loss,mean_fold_auc,std_fold_auc,fit_seconds,predict_seconds,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,fold_seed
e6,component,LightGBM,,,0.9634107982245308,0.221264729537772,0.963412713989788,0.0003957528967011,240.44775420898804,20.969929625978693,0.963044949263636,0.9633484433118772,0.9634754878159087,0.9640528566871822,0.9631418328703358,7
e6,component,XGBoost,,,0.9639037153524856,0.2196833716506331,0.963905746504848,0.0003276658808321,183.72233733400935,6.749364123970736,0.9635300882721796,0.9640965702894654,0.9639683453550306,0.9643136621602934,0.9636200664472708,7
e4,blend,E4 selected blend,0.5,0.5,0.9613079680770084,0.2289197780032467,0.9613092273409688,0.0003762831453633,0.0,0.0,0.9609797988955336,0.9615969515063244,0.9611923534988918,0.9618061374746552,0.9609708953294408,21
e4,component,LightGBM,,,0.9608006967135536,0.2336996248670746,0.9608009408360034,0.0005036590834944,12.353640209970765,1.3728033740189858,0.960466876449891,0.9613628837650124,0.9603414305061512,0.9613346889215943,0.9604988245373683,21
e4,component,XGBoost,,,0.9608319017701348,0.2302856446818959,0.9608328661516138,0.0003793361118482,11.07645708200289,0.3621707499551121,0.9604268926524748,0.9608999983750528,0.9608819864406136,0.9614030973055192,0.960552355984408,21
e5,blend,E5 selected blend,0.5,0.5,0.9639057855969432,0.220077017918413,0.9639077482532462,0.000258074054449,0.0,0.0,0.9638787096482728,0.9641008759109472,0.9639498607409908,0.9641249866300876,0.9634843083359328,21
e5,component,LightGBM,,,0.9632247114726198,0.2219556828379212,0.9632264168629944,0.0002254872125763,74.39298091598903,4.893196290999185,0.9632633178514528,0.9633458485216064,0.963280878545597,0.9634061241777188,0.962835915218598,21
e5,component,XGBoost,,,0.9636352406370216,0.2206641914546553,0.9636368391033006,0.0002669871937164,47.878119291970506,1.6127484579919835,0.9635368892258522,0.9638576480043336,0.9636698206587248,0.9638866150433306,0.9632332225842618,21
e6,blend,E6 grid LGB 0.3,0.3,0.7,0.9642035516089456,0.2188645067214905,0.9642048760570192,0.0002662803894798,0.0,0.0,0.9641173192240072,0.9643935143127113,0.9643308425287688,0.9644065722452504,0.9637761319743584,21
e6,blend,E6 grid LGB 0.4,0.4,0.6,0.9642244301454278,0.2188428785935716,0.9642257773599032,0.0002659507020045,0.0,0.0,0.9641502710560615,0.9644162219625056,0.9643423778900344,0.9644266686130004,0.9637933472779144,21
e6,blend,E6 grid LGB 0.5,0.5,0.5,0.9642029524945764,0.2189434013975406,0.9642039480896684,0.0002654062090662,0.0,0.0,0.9641376518046978,0.9643961220426812,0.9643123412960956,0.9644040233782254,0.9637696019266422,21
e6,blend,E6 selected blend,0.4,0.6,0.9642244301454278,0.2188428785935716,0.9642257773599032,0.0002659507020045,0.0,0.0,0.9641502710560615,0.9644162219625056,0.9643423778900344,0.9644266686130004,0.9637933472779144,21
e6,component,LightGBM,,,0.9634296530995676,0.2212402142171777,0.9634306892851487,0.0002436097987999,231.1943154150213,17.36087699997006,0.963386285842794,0.963616413318837,0.9635083688601972,0.9636135102592612,0.9630288681446548,21
e6,component,XGBoost,,,0.963879440168482,0.2197625607231379,0.963880588974791,0.000263454685524,183.32213183300337,6.685771667020163,0.9637489952529712,0.964053313509308,0.964042978368574,0.9640816508162772,0.9634760069268248,21
e4,blend,E4 selected blend,0.5,0.5,0.9613368377922124,0.2288688055437024,0.9613380064385592,0.0005096499961083,0.0,0.0,0.9617700171923316,0.9606610697469312,0.9610333623998304,0.9618869030176052,0.961338679836098,84
e4,component,LightGBM,,,0.9608591570947276,0.2331643633065469,0.960860814162414,0.0005116687185617,12.364734792005038,1.3856026239227504,0.9612426731982008,0.9600829064796144,0.9606785002829246,0.961368825116706,0.960931165734624,84
e4,component,XGBoost,,,0.9608371415876902,0.2302669338850412,0.960838363195941,0.0005035345836105,11.06845137500204,0.3558973750041332,0.9613216438018948,0.9602632624175276,0.9604725134649336,0.9613922445768168,0.9607421517185324,84
e5,blend,E5 selected blend,0.5,0.5,0.9638924765665092,0.2201175477931047,0.9638938278337108,0.0003466772322125,0.0,0.0,0.964210148372414,0.9634796635329594,0.9637213639207676,0.9642962575036984,0.9637617058387148,84
e5,component,LightGBM,,,0.9632198669002512,0.2219606094168591,0.963222805984126,0.0003378345325407,74.91309379096492,5.0229450420010835,0.9635386586662892,0.9628734312671424,0.9630339599069332,0.9636292157557468,0.963038764324518,84
e5,component,XGBoost,,,0.9635846628068416,0.220836180642542,0.9635858301713958,0.0003374445961641,51.15259383505327,1.7601763760030735,0.9638578492039702,0.9631447080015488,0.9634374131315652,0.9639838131162576,0.9635053674036368,84
e6,blend,E6 grid LGB 0.3,0.3,0.7,0.9641907696363698,0.2189089876237414,0.96419321388313,0.0003357455094934,0.0,0.0,0.9645127599839132,0.9637938556678118,0.9639936230574356,0.9645678983257198,0.964097932380769,84
e6,blend,E6 grid LGB 0.4,0.4,0.6,0.9642125407196026,0.2188837997421571,0.9642148609713976,0.0003425824392549,0.0,0.0,0.9645460165331984,0.9637999677727912,0.9640221406321752,0.9645900444940564,0.964116135424767,84
e6,blend,E6 grid LGB 0.5,0.5,0.5,0.9641902206063502,0.2189843288301526,0.964192784420891,0.0003490437470307,0.0,0.0,0.964534823947102,0.963763171074034,0.9640078283099716,0.964568238056254,0.9640898607170938,84
e6,blend,E6 selected blend,0.4,0.6,0.9642125407196026,0.2188837997421571,0.9642148609713976,0.0003425824392549,0.0,0.0,0.9645460165331984,0.9637999677727912,0.9640221406321752,0.9645900444940564,0.964116135424767,84
e6,component,LightGBM,,,0.9633963437086944,0.2213320639501556,0.963398169712779,0.0003690680079002,250.45696416602004,18.536807459022384,0.9637677814127464,0.9629192398320996,0.9632636352546626,0.9637760516565784,0.9632641404078076,84
e6,component,XGBoost,,,0.9638568470625404,0.2198461282478735,0.963858959681331,0.0003114618857733,183.3742411250132,6.873161375959171,0.9641282111523866,0.9635151567473108,0.9636413917589828,0.9642366813525022,0.963773357395472,84
e4,blend,E4 selected blend,0.5,0.5,0.9612835141370388,0.2289820699885341,0.9612848363483216,0.000307758166918,0.0,0.0,0.9615994529277851,0.9608078729179352,0.961303152337426,0.9615012033140078,0.9612125002444548,123
e4,component,LightGBM,,,0.9608377737465664,0.2328092608938195,0.9608386248747272,0.0002708152475718,12.370067624986405,1.3924452920036856,0.9609717866845272,0.9605800268884668,0.9606365622103488,0.9612414365689076,0.960763312021386,123
e4,component,XGBoost,,,0.960810513860086,0.2303483235289855,0.960811513447876,0.0004242551350266,11.096814207994612,0.3480606240045745,0.9612746657164766,0.9601437900478696,0.9609699333897648,0.9609639012064572,0.960705276878811,123
e5,blend,E5 selected blend,0.5,0.5,0.9638889020662657,0.2201092560888988,0.9638894531774131,0.000410975122806,0.0,0.0,0.9642745482404996,0.9632376886205524,0.964071662383366,0.9641129841710524,0.9637503824715956,123
e5,component,LightGBM,,,0.9631700586285356,0.2220860527151955,0.963169852600269,0.000435264608115,74.3718421649537,4.901868082990404,0.963633724099183,0.9625264912907878,0.9634032863240783,0.9633336479075698,0.962952113379726,123
